,Cost,ID1,ID2,Length,geometry,Type,C1,C2
0,45617.11391265924,20335,20666,4131.036791300191,"LINESTRING (-131941.4660876239 3179345.634261289, -131983.1403483331 3179375.340856389, -132020.3847615751 3179401.848903892, -132047.1281889085 3179427.118315221, -132073.4587933649 3179454.312123242, -132167.3506718812 3179615.263325865, -132306.1596929973 3179752.269311156, -132344.6898353375 3179781.553594827, -132348.297223944 3179816.671583525, -132339.2101168111 3179861.323637507, -132327.5326917069 3179900.890919547, -132305.9788856518 3179935.911487495, -132280.4616484943 3179955.976021284, -132248.6103115807 3179985.691340091, -132223.2980273156 3180016.123988475, -132200.8354194218 3180061.522254533, -132191.8411126197 3180115.277289884, -132195.4880769734 3180163.289022544, -132209.6656941049 3180207.262966316, -132220.003247137 3180269.286143345, -132220.6975323005 3180310.546086062, -132216.7344624651 3180351.487074252, -132204.0500027142 3180400.643748793, -132194.1269809154 3180430.353186444, -132179.575273435 3180457.227425938, -132156.4852534167 3180498.583225134, -132154.3884990189 3180505.111419029, -132142.1731988432 3180543.098502021, -132128.2352228105 3180598.57128704, -132104.8321323599 3180647.750536781, -132095.9142325218 3180671.584634351, -132077.7994165956 3180764.526062248, -132073.8310338471 3180777.562855888, -132057.8029571454 3181082.786016118, -132146.3156006128 3181332.456066702, -132114.9094763688 3181507.495823198, -132084.3713392817 3181573.412002672, -132077.8502870214 3181586.696983526, -132078.7385931045 3181622.925995246, -132072.5041942573 3181665.193811669, -132078.4676640041 3181713.087777842, -132081.9832720922 3181754.557175517, -132085.1153726024 3181785.911519727, -132093.2021692551 3181819.738919394, -132092.8354872051 3181890.775774137, -132094.5060056747 3181937.268514472, -132092.7869537204 3181972.514529222, -132090.353548283 3182021.632488281, -132113.0405157687 3182113.618130073, -132126.7696689968 3182146.101686947, -132230.18922251 3182437.937472641, -132340.988881683 3182522.799221704, -132393.9092050284 3182811.379762566, -132412.5283568605 3182844.96153625, -132435.2719837035 3182886.095749231, -132446.9939799423 3182935.962500847, -132377.3020787587 3183092.883358866)",C-C,3.0,8.0
0,75289.14300998153,20335,23251,6721.760087510031,"LINESTRING (-131941.4660876239 3179345.634261289, -131983.1403483331 3179375.340856389, -132020.3847615751 3179401.848903892, -132047.1281889085 3179427.118315221, -132073.4587933649 3179454.312123242, -132167.3506718812 3179615.263325865, -132306.1596929973 3179752.269311156, -132344.6898353375 3179781.553594827, -132348.297223944 3179816.671583525, -132339.2101168111 3179861.323637507, -132327.5326917069 3179900.890919547, -132305.9788856518 3179935.911487495, -132280.4616484943 3179955.976021284, -132248.6103115807 3179985.691340091, -132223.2980273156 3180016.123988475, -132200.8354194218 3180061.522254533, -132191.8411126197 3180115.277289884, -132195.4880769734 3180163.289022544, -132209.6656941049 3180207.262966316, -132220.003247137 3180269.286143345, -132220.6975323005 3180310.546086062, -132216.7344624651 3180351.487074252, -132204.0500027142 3180400.643748793, -132194.1269809154 3180430.353186444, -132179.575273435 3180457.227425938, -132156.4852534167 3180498.583225134, -132154.3884990189 3180505.111419029, -132185.6211646498 3180521.141975344, -132206.1434352905 3180544.146220311, -132224.2327852979 3180575.736921043, -132299.0252456029 3180574.568862582, -132302.5962627218 3180645.539535976, -132300.1195823844 3180698.393007067, -132302.1787640703 3180737.307124641, -132297.9994881661 3180774.89759845, -132297.0136989317 3180806.615370059, -132268.9383852189 3180828.391336655, -132230.5879349997 3180818.000181665, -132208.2762889713 3180855.38473535, -132202.6408885101 3180868.934702649, -132223.6692841465 3180899.793864099, -132254.2389937188 3180941.393220924, -132290.300002162 3180981.248007884, -132313.0311409717 3181023.013452669, -132313.7386311735 3181075.958571945, -132295.2979092959 3181114.927957377, -132292.1816375919 3181180.213017194, -132297.0293050489 3181210.178951699, -132307.1699816839 3181247.255941826, -132329.7704578507 3181289.286049218, -132348.5794940754 3181321.0293532, -132367.425360104 3181349.524825148, -132388.9593783598 3181382.197188084, -132398.4996644338 3181425.631000349, -132401.8163799892 3181467.319993522, -132395.1362066054 3181513.451740876, -132415.7130529049 3181538.330700489, -132451.6436055265 3181543.927945742, -132485.7295051495 3181551.067475341, -132502.8836453742 3181578.767910559, -132522.5457063495 3181615.310555481, -132539.3682686977 3181763.903595431, -132971.2004155965 3181695.672548381, -133214.1655273109 3181928.3427871, -133214.1655273109 3181958.3427871, -133222.2292688607 3181972.319381187, -133257.0782036638 3181974.115283193, -133298.2140119124 3181943.09007704, -133323.6887091108 3181926.541734764, -133382.5574586396 3181848.65838363, -133565.7355250098 3181806.424977792, -133853.1542529085 3181742.976218321, -133883.8765904506 3181897.153208645, -134063.580112304 3182312.656039007, -134263.6462990675 3182642.921246589, -134445.15445364 3182944.805487354, -134495.8890679906 3183270.723374096, -134577.2570953646 3183620.965114461, -134587.8898362157 3183698.249829903, -134600.7460474823 3183730.272163975, -134617.4386441919 3183759.146029662, -134644.8948430564 3183776.326390289, -134660.1867262125 3183781.04890357)",C-C,3.0,9.0
0,72674.49202008668,20335,29821,6380.778519057411,"LINESTRING (-131941.4660876239 3179345.634261289, -131983.1403483331 3179375.340856389, -132020.3847615751 3179401.848903892, -132047.1281889085 3179427.118315221, -132073.4587933649 3179454.312123242, -132167.3506718812 3179615.263325865, -132306.1596929973 3179752.269311156, -132344.6898353375 3179781.553594827, -132348.297223944 3179816.671583525, -132339.2101168111 3179861.323637507, -132327.5326917069 3179900.890919547, -132305.9788856518 3179935.911487495, -132280.4616484943 3179955.976021284, -132248.6103115807 3179985.691340091, -132223.2980273156 3180016.123988475, -132200.8354194218 3180061.522254533, -132191.8411126197 3180115.277289884, -132195.4880769734 3180163.289022544, -132209.6656941049 3180207.262966316, -132220.003247137 3180269.286143345, -132220.6975323005 3180310.546086062, -132216.7344624651 3180351.487074252, -132204.0500027142 3180400.643748793, -132194.1269809154 3180430.353186444, -132179.575273435 3180457.227425938, -132156.4852534167 3180498.583225134, -132154.3884990189 3180505.111419029, -132142.1731988432 3180543.098502021, -132128.2352228105 3180598.57128704, -132104.8321323599 3180647.750536781, -132095.9142325218 3180671.584634351, -132077.7994165956 3180764.526062248, -132073.8310338471 3180777.562855888, -132057.8029571454 3181082.786016118, -132146.3156006128 3181332.456066702, -132114.9094763688 3181507.495823198, -132084.3713392817 3181573.412002672, -132077.8502870214 3181586.696983526, -132078.7385931045 3181622.925995246, -132072.5041942573 3181665.193811669, -132078.4676640041 3181713.087777842, -132081.9832720922 3181754.557175517, -132085.1153726024 3181785.911519727, -132093.2021692551 3181819.738919394, -132092.8354872051 3181890.775774137, -132094.5060056747 3181937.268514472, -132092.7869537204 3181972.514529222, -132090.353548283 3182021.632488281, -132113.0405157687 3182113.618130073, -132126.7696689968 3182146.101686947, -132230.18922251 3182437.937472641, -132340.988881683 3182522.799221704, -132393.9092050284 3182811.379762566, -132412.5283568605 3182844.96153625, -132435.2719837035 3182886.095749231, -132446.9939799423 3182935.962500847, -132377.3020787587 3183092.883358866, -132337.8572423323 3183106.370035986, -132295.5171312171 3183119.325027206, -132267.350100307 3183130.734032312, -132244.6476808545 3183142.681943616, -132237.0176693611 3183170.211239264, -132245.6662656645 3183206.894452285, -132221.8036913049 3183228.962114084, -132226.5865991403 3183264.537083492, -132190.0033768135 3183315.972001018, -132166.5531976395 3183338.742889002, -132141.4772911393 3183363.601751605, -132127.7612074575 3183388.589711182, -132076.248644685 3183377.528042642, -132024.8408426635 3183358.951270676, -131975.5407689295 3183338.846566345, -131951.2818225966 3183341.675490094, -131951.3061079056 3183391.19834628, -131937.8502258135 3183468.206465737, -131942.5506903088 3183540.387384332, -131958.9002964429 3183645.704471192, -131939.7588259226 3183684.865902425, -131902.3042296519 3183738.420314504, -131888.3306100998 3183768.970934284, -131870.9099384792 3183826.122906645, -131858.7062201003 3183859.975178923, -131846.5635584133 3183893.617514302, -131812.9801886029 3183956.484234179, -131771.2004155965 3184395.672548381, -131771.2004155965 3184695.672548381, -131819.4669245179 3184895.275123749, -131819.4669245179 3184865.275123749)",C-C,3.0,11.0
0,73475.74410665668,20335,29909,7088.600471071471,"LINESTRING (-131941.4660876239 3179345.634261289, -131983.1403483331 3179375.340856389, -132020.3847615751 3179401.848903892, -132047.1281889085 3179427.118315221, -132073.4587933649 3179454.312123242, -132167.3506718812 3179615.263325865, -132306.1596929973 3179752.269311156, -132344.6898353375 3179781.553594827, -132348.297223944 3179816.671583525, -132339.2101168111 3179861.323637507, -132327.5326917069 3179900.890919547, -132305.9788856518 3179935.911487495, -132280.4616484943 3179955.976021284, -132248.6103115807 3179985.691340091, -132223.2980273156 3180016.123988475, -132200.8354194218 3180061.522254533, -132191.8411126197 3180115.277289884, -132195.4880769734 3180163.289022544, -132209.6656941049 3180207.262966316, -132220.003247137 3180269.286143345, -132220.6975323005 3180310.546086062, -132216.7344624651 3180351.487074252, -132204.0500027142 3180400.643748793, -132194.1269809154 3180430.353186444, -132179.575273435 3180457.227425938, -132156.4852534167 3180498.583225134, -132154.3884990189 3180505.111419029, -132142.1731988432 3180543.098502021, -132128.2352228105 3180598.57128704, -132104.8321323599 3180647.750536781, -132095.9142325218 3180671.584634351, -132077.7994165956 3180764.526062248, -132073.8310338471 3180777.562855888, -132057.8029571454 3181082.786016118, -132146.3156006128 3181332.456066702, -132114.9094763688 3181507.495823198, -132084.3713392817 3181573.412002672, -132077.8502870214 3181586.696983526, -132078.7385931045 3181622.925995246, -132072.5041942573 3181665.193811669, -132078.4676640041 3181713.087777842, -132081.9832720922 3181754.557175517, -132085.1153726024 3181785.911519727, -132093.2021692551 3181819.738919394, -132092.8354872051 3181890.775774137, -132094.5060056747 3181937.268514472, -132092.7869537204 3181972.514529222, -132090.353548283 3182021.632488281, -132113.0405157687 3182113.618130073, -132126.7696689968 3182146.101686947, -132230.18922251 3182437.937472641, -132340.988881683 3182522.799221704, -132393.9092050284 3182811.379762566, -132412.5283568605 3182844.96153625, -132435.2719837035 3182886.095749231, -132446.9939799423 3182935.962500847, -132506.8537595911 3183201.496857507, -132534.7717509911 3183372.267474469, -132514.8337094829 3183691.171860366, -132718.7922167474 3183931.743648872, -132906.6835404568 3184165.45075345, -133039.1505680158 3184450.588644481, -133234.5288110319 3184676.593891853, -133267.6443390585 3184667.849373598, -133326.9478548813 3184717.8416955, -133402.6246430295 3185005.881144078, -133616.6586675876 3185154.81339402, -133595.0859309499 3185290.462790676, -133591.5604576576 3185337.151546466, -133553.1123275369 3185367.252757984, -133497.0692050848 3185396.88589047, -133444.8688422125 3185416.818441081, -133390.2145384648 3185477.820400609, -133358.8965726882 3185481.376756614)",C-C,3.0,13.0
0,18801.229798034707,28921,20410,1285.0938983454878,"LINESTRING (-133244.1655273109 3181868.3427871, -133214.1655273109 3181928.3427871, -133214.1655273109 3181958.3427871, -132971.2004155965 3181995.672548381, -132671.2004155965 3181995.672548381, -132371.2004155965 3181995.672548381, -132072.5725086863 3181917.441150001, -132092.8354872051 3181890.775774137)",C-C,4.0,5.0
0,41593.60948980743,28921,20295,3354.7637176814037,"LINESTRING (-133244.1655273109 3181868.3427871, -133214.1655273109 3181928.3427871, -133214.1655273109 3181958.3427871, -132971.2004155965 3182295.672548381, -132971.2004155965 3182595.672548381, -132671.2004155965 3182895.672548381, -132337.8572423323 3183106.370035986, -132295.5171312171 3183119.325027206, -132267.350100307 3183130.734032312, -132244.6476808545 3183142.681943616, -132237.0176693611 3183170.211239264, -132245.6662656645 3183206.894452285, -132221.8036913049 3183228.962114084, -132226.5865991403 3183264.537083492, -132190.0033768135 3183315.972001018, -132166.5531976395 3183338.742889002, -132141.4772911393 3183363.601751605, -132127.7612074575 3183388.589711182, -132076.248644685 3183377.528042642, -132024.8408426635 3183358.951270676, -131975.5407689295 3183338.846566345, -131949.2325795455 3183324.257810078, -131900.4758230334 3183310.489887612, -131711.9923153705 3183242.534507515, -131485.4410859424 3183267.54283901, -131237.1303122215 3183299.094795511, -131152.0539462115 3183265.2310701, -131112.3018605142 3183262.842792761, -130984.1023668219 3183223.993276884, -130935.2536614757 3183206.126521905, -130877.2722234555 3183193.345585585, -130845.8812195235 3183186.695414599)",C-C,4.0,6.0
0,11851.471018582137,28921,24981,891.5775597071988,"LINESTRING (-133244.1655273109 3181868.3427871, -133214.1655273109 3181928.3427871, -133214.1655273109 3181958.3427871, -133271.2004155965 3181995.672548381, -133271.2004155965 3182295.672548381, -133016.1324821232 3182563.402968062, -132979.9958145478 3182520.573474514)",C-C,4.0,7.0
0,24062.370519593034,28921,20666,1623.2952621667964,"LINESTRING (-133244.1655273109 3181868.3427871, -133214.1655273109 3181928.3427871, -133214.1655273109 3181958.3427871, -132971.2004155965 3182295.672548381, -132971.2004155965 3182595.672548381, -132671.2004155965 3182895.672548381, -132367.4490816543 3183106.263296571, -132377.3020787587 3183092.883358866)",C-C,4.0,8.0
0,30849.373366433738,28921,23251,3068.932842832254,"LINESTRING (-133244.1655273109 3181868.3427871, -133214.1655273109 3181928.3427871, -133214.1655273109 3181958.3427871, -133222.2292688607 3181972.319381187, -133257.0782036638 3181974.115283193, -133298.2140119124 3181943.09007704, -133323.6887091108 3181926.541734764, -133382.5574586396 3181848.65838363, -133565.7355250098 3181806.424977792, -133853.1542529085 3181742.976218321, -133883.8765904506 3181897.153208645, -134063.580112304 3182312.656039007, -134263.6462990675 3182642.921246589, -134445.15445364 3182944.805487354, -134495.8890679906 3183270.723374096, -134577.2570953646 3183620.965114461, -134587.8898362157 3183698.249829903, -134600.7460474823 3183730.272163975, -134617.4386441919 3183759.146029662, -134644.8948430564 3183776.326390289, -134660.1867262125 3183781.04890357)",C-C,4.0,9.0
0,57781.64282088012,23237,20455,5241.9679020662,"LINESTRING (-133697.5481564825 3181391.201836409, -133713.780227219 3181420.700666792, -133743.0938222265 3181469.008203152, -133780.3051127664 3181515.322367678, -133853.1542529085 3181742.976218321, -133883.8765904506 3181897.153208645, -134063.580112304 3182312.656039007, -134263.6462990675 3182642.921246589, -134445.15445364 3182944.805487354, -134495.8890679906 3183270.723374096, -134577.2570953646 3183620.965114461, -134587.8898362157 3183698.249829903, -134600.7460474823 3183730.272163975, -134617.4386441919 3183759.146029662, -134644.8948430564 3183776.326390289, -134660.1867262125 3183781.04890357, -134675.5657237311 3183836.448623241, -134678.2579858435 3183875.581726557, -134686.7853065135 3183908.529657468, -134705.6842862334 3183950.965800191, -134732.9033213837 3183971.702407866, -134746.58197711 3184011.927373612, -134766.7058390109 3184062.426606293, -134780.0389060962 3184087.780676067, -134829.1516050675 3184138.571757451, -134853.5992255407 3184158.167902041, -134916.7435270857 3184132.769622117, -134968.0055887919 3184132.13395501, -135017.3278010525 3184128.626763672, -135080.8054265293 3184101.492642936, -135154.0078273312 3184069.737960899, -135338.4333919819 3184205.087289396, -135546.3707277142 3184511.024748093, -135755.1996973015 3184768.928040484, -135833.8182065873 3184840.256953914, -135907.6360646573 3184898.536911982, -136143.2005400197 3185092.469851744, -136416.8701997731 3184762.062030564)",C-C,4.0,10.0
0,50262.892633462994,28921,29821,3839.470395334948,"LINESTRING (-133244.1655273109 3181868.3427871, -133214.1655273109 3181928.3427871, -133214.1655273109 3181958.3427871, -132971.2004155965 3182295.672548381, -132971.2004155965 3182595.672548381, -132671.2004155965 3182895.672548381, -132337.8572423323 3183106.370035986, -132295.5171312171 3183119.325027206, -132267.350100307 3183130.734032312, -132244.6476808545 3183142.681943616, -132237.0176693611 3183170.211239264, -132245.6662656645 3183206.894452285, -132221.8036913049 3183228.962114084, -132226.5865991403 3183264.537083492, -132190.0033768135 3183315.972001018, -132166.5531976395 3183338.742889002, -132141.4772911393 3183363.601751605, -132127.7612074575 3183388.589711182, -132076.248644685 3183377.528042642, -132024.8408426635 3183358.951270676, -131975.5407689295 3183338.846566345, -131951.2818225966 3183341.675490094, -131951.3061079056 3183391.19834628, -131937.8502258135 3183468.206465737, -131942.5506903088 3183540.387384332, -131958.9002964429 3183645.704471192, -131939.7588259226 3183684.865902425, -131902.3042296519 3183738.420314504, -131888.3306100998 3183768.970934284, -131870.9099384792 3183826.122906645, -131858.7062201003 3183859.975178923, -131846.5635584133 3183893.617514302, -131812.9801886029 3183956.484234179, -131771.2004155965 3184395.672548381, -131771.2004155965 3184695.672548381, -131819.4669245179 3184895.275123749, -131819.4669245179 3184865.275123749)",C-C,4.0,11.0
0,52020.38102919574,28921,29909,4441.319225884045,"LINESTRING (-133244.1655273109 3181868.3427871, -133214.1655273109 3181928.3427871, -133214.1655273109 3181958.3427871, -132971.2004155965 3182295.672548381, -132971.2004155965 3182595.672548381, -132671.2004155965 3182895.672548381, -132506.8537595911 3183201.496857507, -132534.7717509911 3183372.267474469, -132514.8337094829 3183691.171860366, -132718.7922167474 3183931.743648872, -132906.6835404568 3184165.45075345, -133039.1505680158 3184450.588644481, -133234.5288110319 3184676.593891853, -133267.6443390585 3184667.849373598, -133326.9478548813 3184717.8416955, -133402.6246430295 3185005.881144078, -133616.6586675876 3185154.81339402, -133595.0859309499 3185290.462790676, -133591.5604576576 3185337.151546466, -133553.1123275369 3185367.252757984, -133497.0692050848 3185396.88589047, -133444.8688422125 3185416.818441081, -133390.2145384648 3185477.820400609, -133358.8965726882 3185481.376756614)",C-C,4.0,13.0
0,64459.55447134339,28921,20715,5460.378932509907,"LINESTRING (-133244.1655273109 3181868.3427871, -133214.1655273109 3181928.3427871, -133214.1655273109 3181958.3427871, -132971.2004155965 3182295.672548381, -132971.2004155965 3182595.672548381, -132671.2004155965 3182895.672548381, -132506.8537595911 3183201.496857507, -132534.7717509911 3183372.267474469, -132514.8337094829 3183691.171860366, -132718.7922167474 3183931.743648872, -132906.6835404568 3184165.45075345, -133039.1505680158 3184450.588644481, -133234.5288110319 3184676.593891853, -133267.6443390585 3184667.849373598, -133326.9478548813 3184717.8416955, -133402.6246430295 3185005.881144078, -133616.6586675876 3185154.81339402, -133883.04587042 3185019.198633355, -134120.3739118361 3184954.429331351, -134125.7565440755 3185232.849940534, -134151.2796311649 3185530.627281725, -134200.8989008359 3185659.004861705, -134170.0905203463 3185881.741928386)",C-C,4.0,14.0
0,85487.59527537887,28921,24645,7126.758059154994,"LINESTRING (-133244.1655273109 3181868.3427871, -133214.1655273109 3181928.3427871, -133214.1655273109 3181958.3427871, -132971.2004155965 3182295.672548381, -132971.2004155965 3182595.672548381, -132671.2004155965 3182895.672548381, -132337.8572423323 3183106.370035986, -132295.5171312171 3183119.325027206, -132267.350100307 3183130.734032312, -132244.6476808545 3183142.681943616, -132237.0176693611 3183170.211239264, -132245.6662656645 3183206.894452285, -132221.8036913049 3183228.962114084, -132226.5865991403 3183264.537083492, -132190.0033768135 3183315.972001018, -132166.5531976395 3183338.742889002, -132141.4772911393 3183363.601751605, -132127.7612074575 3183388.589711182, -132076.248644685 3183377.528042642, -132024.8408426635 3183358.951270676, -131975.5407689295 3183338.846566345, -131951.2818225966 3183341.675490094, -131951.3061079056 3183391.19834628, -131937.8502258135 3183468.206465737, -131942.5506903088 3183540.387384332, -131958.9002964429 3183645.704471192, -131939.7588259226 3183684.865902425, -131902.3042296519 3183738.420314504, -131888.3306100998 3183768.970934284, -131870.9099384792 3183826.122906645, -131858.7062201003 3183859.975178923, -131846.5635584133 3183893.617514302, -131812.9801886029 3183956.484234179, -131771.2004155965 3184395.672548381, -131771.2004155965 3184695.672548381, -131819.4669245179 3184895.275123749, -131828.5818563376 3184915.983260642, -131851.3385813609 3184942.826407421, -131866.2117723688 3184970.622281945, -131875.2851621751 3185002.531926412, -131893.0110689362 3185056.945255249, -131895.0967540632 3185090.915299083, -131911.2189244343 3185114.490441613, -131928.2091877411 3185140.747272745, -131941.9009163445 3185180.514201401, -131952.235361459 3185216.595628958, -131958.3747498343 3185252.241417952, -131941.8370661605 3185279.060003936, -131959.1528075067 3185296.407172948, -132006.2265285383 3185350.111880928, -132023.3646601233 3185409.72939997, -132033.9437966009 3185469.793496467, -132071.6304450109 3185508.015110532, -132097.1385243928 3185534.102981956, -132104.1141398216 3185565.722964561, -132101.8219597096 3185582.636863887, -132100.8583647037 3185658.811370574, -132094.4419386551 3185693.139406149, -132141.1191335588 3186031.427286182, -132152.6610349463 3186099.462562535, -132341.8475662953 3186067.059690387, -132455.5775502647 3186275.438231077, -132635.5907793394 3186569.884565614, -132738.6324644321 3186858.897874629, -132745.81545702 3187143.002716746, -132874.3217212961 3187179.804619792, -132984.7405147887 3187274.660028528, -133002.1541821398 3187304.371509733, -133018.0565929165 3187341.537965764, -133022.8819955215 3187380.650726497, -133028.5910120352 3187424.463174898, -133033.9985276332 3187469.868623082, -133047.3686973143 3187545.620180868, -133070.6148503791 3187633.003747749)",C-C,4.0,17.0
